Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 4_level_0_MP
Macey Hodge,us USA,MF,24-129,,8,664.0,7.4,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,0.1,0.4,4.0,20.0,3.0,0.14,0.0,0.14,0.14,0.14,0.04,0.02,0.06,0.04,0.06,Matches,Angel City FC,13.0
Miyabi Moriya,jp JPN,DF,29-019,,7,879.0,9.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.1,1.4,5.0,34.0,28.0,0.0,0.1,0.1,0.0,0.1,0.03,0.12,0.15,0.03,0.15,Matches,Angel City FC,18.0
Claire Emslie,sct SCO,"FW,MF",31-186,,7,519.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.3,2.5,14.0,21.0,41.0,0.0,0.17,0.17,0.0,0.17,0.2,0.23,0.43,0.2,0.43,Matches,Angel City FC,8.0
Katie Zelem,eng ENG,MF,29-233,,6,585.0,6.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,0.6,1.8,2.0,41.0,14.0,0.31,0.0,0.31,0.31,0.31,0.18,0.1,0.28,0.18,0.28,Matches,Angel City FC,15.0
Sveindís Jane Jónsdóttir,is ISL,FW,24-097,,6,521.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.6,2.8,10.0,7.0,34.0,0.0,0.17,0.17,0.0,0.17,0.37,0.11,0.48,0.37,0.48,Matches,Angel City FC,6.0
Evelyn Shores,us USA,DF,20-255,,6,477.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,7.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches,Angel City FC,6.0
Julie Dufour,fr FRA,"FW,MF",24-104,,4,370.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.8,9.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.19,0.01,0.19,Matches,Angel City FC,10.0
Hannah Seabert,dk DEN,GK,30-194,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Angel City FC,4.0
Christen Press,us USA,"FW,MF",36-255,,2,363.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.1,8.0,7.0,28.0,0.25,0.0,0.25,0.25,0.25,0.21,0.08,0.28,0.21,0.28,Matches,Angel City FC,17.0
Jun Endō,jp JPN,MF,25-109,,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,Matches,Angel City FC,3.0
